City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
88,buchanan,75,LR,1538643600,83,5.88,-10.05,80.6,5.82
89,nemuro,20,JP,1538643600,76,43.32,145.57,53.6,2.24
90,hithadhoo,56,MV,1538645992,100,-0.6,73.08,82.86,19.71
91,barrow,0,AR,1538645992,83,-38.31,-60.23,36.96,5.28
92,agirish,88,RU,1538645901,89,61.92,63.02,46.5,5.84
93,poum,75,MK,1538643600,36,41.28,20.71,60.8,14.99
94,beckley,90,US,1538644500,97,37.78,-81.19,64.94,2.37
95,klaksvik,75,FO,1538645100,75,62.23,-6.59,46.4,13.87
96,zyryanka,80,RU,1538645993,91,65.73,150.89,31.2,5.5
97,kambove,12,CD,1538645993,32,-10.88,26.6,86.55,7.18
98,mataura,88,NZ,1538645994,95,-46.19,168.86,41.91,3.15
99,lorengau,20,PG,1538645994,100,-2.02,147.27,83.94,4.5
100,omboue,92,GA,1538645994,100,-1.57,9.26,77.46,12.33
101,narsaq,75,GL,1538643000,63,60.91,-46.05,30.2,4.38
102,mahebourg,40,MU,1538643600,54,-20.41,57.7,78.8,13.87
103,pevek,56,RU,1538645995,100,69.7,170.27,38.85,4.05
104,normandin,90,CA,1538643600,81,48.84,-72.53,51.8,14.99
105,ancud,0,CL,1538645996,81,-41.87,-73.83,33.63,5.39
106,grindavik,75,IS,1538643600,80,63.84,-22.43,42.8,20.8
107,rafraf,40,TN,1538643600,73,37.19,10.18,71.6,9.17
108,nikolskoye,90,RU,1538643600,69,59.7,30.79,39.2,13.42
109,grand gaube,40,MU,1538643600,54,-20.01,57.66,78.8,13.87
110,bambous virieux,40,MU,1538643600,54,-20.34,57.76,78.8,13.87
111,lebu,20,ET,1538640000,33,8.96,38.73,71.6,6.93
112,gwadar,0,PK,1538645997,59,25.12,62.33,92.31,8.3
113,okha,0,RU,1538645998,63,53.59,142.95,50.37,10.54
114,manicore,0,BR,1538645998,94,-5.81,-61.3,74.58,2.04
115,vanavara,0,RU,1538645998,45,60.35,102.28,40.65,5.28
116,vao,32,EE,1538645999,79,59.1,26.19,42.0,12.1
117,fairbanks,1,US,1538643480,15,64.84,-147.72,39.2,10.29
118,iracoubo,0,GF,1538645999,90,5.48,-53.21,76.56,5.17
119,bredasdorp,0,ZA,1538643600,49,-34.53,20.04,69.8,17.22
120,souillac,0,FR,1538645400,59,45.6,-0.6,66.2,11.41
121,aba,36,NG,1538646000,95,5.11,7.36,81.96,8.41
122,santa vitoria do palmar,24,BR,1538645955,79,-33.52,-53.37,52.89,14.0
123,esperance,20,TT,1538643600,94,10.24,-61.45,78.8,4.7
124,san ramon,56,NI,1538646001,96,12.92,-85.84,66.84,1.92
125,kahului,1,US,1538643360,81,20.89,-156.47,75.02,3.36
126,yellowknife,75,CA,1538643600,67,62.45,-114.38,21.2,4.7
127,constitucion,0,MX,1538646001,79,23.99,-104.67,50.64,2.93
128,svetlogorsk,76,RU,1538643600,30,53.14,59.15,69.8,17.9
129,la ronge,5,CA,1538643600,92,55.1,-105.3,19.4,2.24
130,axim,44,GH,1538646003,95,4.87,-2.24,78.99,9.08
131,muravlenko,80,RU,1538646003,88,63.79,74.5,46.68,9.42
132,fort nelson,75,CA,1538643600,58,58.81,-122.69,30.2,5.82
133,kuruman,0,ZA,1538646003,33,-27.46,23.43,64.59,18.03
134,nyurba,64,RU,1538645857,70,63.29,118.35,40.47,4.61
135,hobyo,32,SO,1538646004,81,5.35,48.53,83.13,12.21
136,vila,0,IT,1538644800,59,45.18,8.4,66.2,5.82
137,nador,0,MA,1538643600,56,35.17,-2.93,73.4,8.05
138,rivadavia,44,AR,1538646004,46,-31.53,-68.59,46.14,5.17
139,tulum,40,MX,1538642520,88,20.21,-87.46,78.8,4.7
140,inirida,68,CO,1538646005,96,3.87,-67.92,74.04,2.04
141,kangaba,8,ML,1538646005,90,11.94,-8.41,81.15,4.61
142,meulaboh,92,ID,1538646006,100,4.14,96.13,77.91,4.27
143,hambantota,44,LK,1538646006,100,6.12,81.12,81.51,12.55
144,kencong,8,ID,1538646006,31,-7.78,112.24,91.59,6.29
145,mar del plata,24,AR,1538645710,74,-46.43,-67.52,40.38,6.85
146,ostrovnoy,0,RU,1538646007,99,68.05,39.51,35.43,12.44
147,lumeje,8,AO,1538646007,32,-11.56,20.78,90.15,1.92
148,oranjemund,0,ZA,1538646007,66,-28.55,16.43,67.02,16.35
149,hilo,90,US,1538643360,93,19.71,-155.08,75.02,4.7
150,tabou,48,CI,1538646008,100,4.42,-7.36,77.19,10.42
151,oistins,40,BB,1538643600,83,13.07,-59.53,80.6,11.41
152,beyneu,64,KZ,1538646008,19,45.32,55.19,83.94,7.18
153,newcastle,44,ZA,1538645930,98,-27.76,29.92,47.04,4.94
154,mackenzie,1,CA,1538643600,62,55.34,-123.09,24.8,2.37
155,cururupu,0,BR,1538646009,87,-1.82,-44.87,76.29,6.96
156,port hardy,40,CA,1538643600,93,50.7,-127.42,37.4,4.7
157,am timan,0,TD,1538646010,89,11.04,20.28,84.66,4.94
158,artyom,0,RU,1538643600,72,43.36,132.19,62.6,4.47
159,belle fourche,1,US,1538644500,86,44.67,-103.85,30.2,3.36
160,marsaxlokk,40,MT,1538642700,61,35.84,14.54,77.0,12.75
161,hirara,75,JP,1538643600,100,24.8,125.28,77.0,26.4
162,los llanos de aridane,0,ES,1538645400,65,28.66,-17.92,77.0,5.82
163,nueva londres,68,PY,1538646011,93,-25.4,-56.55,65.04,5.39
164,kozachi laheri,0,UA,1538646011,65,46.71,32.99,57.57,16.02
165,saint-augustin,0,FR,1538645400,63,44.83,-0.61,64.4,8.05
166,khatanga,80,RU,1538646012,85,71.98,102.47,33.0,9.75
167,talara,76,PE,1538645873,91,-4.58,-81.27,63.6,5.84
168,moron,92,VE,1538646012,96,10.49,-68.2,70.62,2.37
169,sao jose da coroa grande,92,BR,1538646013,94,-8.9,-35.15,73.32,3.6
170,westport,75,IE,1538645400,100,53.8,-9.52,53.6,11.41
171,ambilobe,12,MG,1538646013,63,-13.19,49.05,80.97,7.4
172,wadena,0,CA,1538646013,77,51.95,-103.8,15.36,3.38
173,meiganga,20,CM,1538646014,94,6.52,14.29,72.87,3.15
174,zhifang,0,CN,1538643600,24,30.35,114.31,82.4,6.71
